MaterialID,ArtefactID,MonumentID,LocationID,Findspot,FindspotCertainty,FindspotChecked,DateFrom,DateTo,DateChecked,DateNote,Materiality,ModernHolding,HoldingData,Publication,MaterialNote,DBInclusionReason,Media
131,,131,,,,,1,50,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00066.jpg
132,,132,,,,,1,70,,,NA,,,,,,
133,,133,,,,,31,70,,,NA,,,,,,
134,,134,,,,,9,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00055.jpg
135,,135,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
136,,136,,,,,31,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012440
137,,137,,,,,31,130,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00058.jpg;pp
138,,138,,,,,1,100,,,lapis,,,,,,
139,,139,,,,,1,150,,,NA,,,,,,
140,,140,,,,,1,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_10094.jpg;$PF_CIL_03_10094.jpg
141,,141,,,,,42,70,,,NA,,,,,,
142,,142,,,,,42,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1999_01235.jpg;$AE_1999_01235_1.jpg
143,,143,,,,,42,70,,,NA,,,,,,
144,,144,,,,,42,70,,,NA,,,,,,
145,,145,,,,,117,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
146,,146,,,,,1,150,,,lapis,,,,"cf. AE 2016, 01207*",,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
147,,147,,,,,42,100,,,lapis,,,,,,
148,,148,,,,,42,100,,,NA,,,,,,
149,,149,,,,,9,42,,,lapis,,,,,,
150,,150,,,,,-20,9,,,NA,,,,,,
151,,151,,,,,1,150,,,NA,,,,,,
152,,152,,,,,42,69,,,NA,,,,,,
153,,153,,,,,1,100,,,NA,,,,,,
154,,154,,,,,1,50,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1980_00688.jpg;$AE_1980_00688_1.jpg
155,,155,,,,,1,100,,,NA,,,,,,
156,,156,,,,,1,100,,,NA,,,,,,
157,,157,,,,,88,96,,,lapis,,,,,,
158,,158,,,,,42,69,,,NA,,,,,,
159,,159,,,,,1,150,,,NA,,,,,,
160,,160,,,,,42,100,,,lapis,,,,,,
161,,161,,,,,51,52,,,lapis,,,,,,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14221,16_1.jpg;$M_CIL_03_14221,16_2.jpg;$M_CIL_03_14221,16_3.jpg;$M_CIL_03_14221,16_4.jpg;pp"
162,,162,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
163,,163,,,,,102,117,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14988.jpg;pp
164,,164,,,,,31,130,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14991_1.jpg;$M_CIL_03_14991_2.jpg
165,,165,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
166,,166,,,,,1,150,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
167,,167,,,,,1,100,,,NA,,,,,,
168,,168,,,,,69,86,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14995_1.jpg;$M_CIL_03_14995_2.jpg;pp
169,,169,,,,,9,69,,,lapis,,,,,,
170,,170,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14997.jpg;pp
171,,171,,,,,42,69,,,NA,,,,,,
172,,172,,,,,42,69,,,NA,,,,,,
173,,173,,,,,42,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14999.jpg
174,,174,,,,,9,69,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1900_00044.jpg
175,,175,,,,,76,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
176,,176,,,,,76,77,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$FRMEC-141.jpg;$NEU_FRMEC_p141.jpg;$EAOR-09_cat._00027.jpg
177,,177,,,,,1,150,,,lapis,,,,,,
178,,178,,,,,41,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_ILJug-02_00835_1.jpg;$M_ILJug-02_00835_2.jpg;pp
179,,179,,,,,42,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_ILJug-02_00836_1.jpg;$M_ILJug-02_00836_2.jpg;$ILJug_00836.jpg;$ILJug_00836_1.jpg;$ILJug-02_00836_2.jpg
180,,180,,,,,42,69,,,lapis,,,,,,
181,,181,,,,,42,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
182,,182,,,,,42,69,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
